,Sifra,Naslov
0,2071090440035,Čolska ulica
1,2071090440005,Črnomaljska cesta
2,2071090440036,Štefanov trg
3,2120500010000,abitanti
4,2020960160001,abramičeva ulica
5,1080610110001,abramova ulica
6,1080320170001,adamičeva cesta
7,1080320480001,adamičeva cesta
8,2020700200001,adamičeva ulica
9,1080230100001,adamičeva ulica
10,2040110030001,adamičeva ulica
11,1080610110003,adamičeva ulica
12,2070851320001,adamičeva ulica
13,2100380150001,adamičeva ulica
14,1080610110002,adamič-lundrovo nabrežje
15,1081340010000,adamovo
16,2090120010000,adergas
17,2070170010000,adlešiči
18,2010310010000,adrijanci
19,1080610110004,agrokombinatska cesta
20,2020700200002,ahacljeva ulica
21,1081230150001,ahlinova ulica
22,2041390610001,ahtikova ulica
23,2110440010000,ajba
24,2071650010000,ajbelj
25,2020700320001,ajdova pot
26,2021080020001,ajdova ulica
27,2090040020001,ajdovska cesta
28,1080610110005,ajdovščina
29,2110840010000,ajševica
30,1081230150002,albrehtova/ (ulica)
31,1080610110006,aleševa ulica
32,2020700200003,aleševa ulica
33,2020700270001,aleševa ulica
34,1080610110007,alešovčeva ulica
35,1080610110008,aličeva ulica
36,2120400040001,alietova ulica
37,2100380150002,aljažev breg
38,2090030010001,aljaževa cesta
39,1080610110009,aljaževa ulica
40,2020700200004,aljaževa ulica
41,1080230430001,aljaževa ulica
42,2021130870001,aljaževa ulica
43,1080720030001,aljaževa ulica
44,2091020170001,aljaževa ulica
45,1081400070014,aljaževa ulica
46,2041900380001,aljaževa ulica
47,2090410070001,aljaževa ulica
48,2090030010002,alpska cesta
49,2091020170002,alpska cesta
50,2090120020000,ambrož pod krvavcem
51,1080610110011,ambrožev trg
52,1080390010000,ambrus
53,2071040010000,andol
54,2041730010000,andraž nad polzelo
55,1080610110012,andreaševa ulica
56,2010780010000,andrejci
57,2101500010000,andrejčje
58,2021530010000,andrenci
59,1080610110013,andrićeva ulica
60,2120500410001,ankaranska cesta
61,2060540010000,anovec
62,2021690030001,antoličičeva ulica
63,2020700200005,antoličičeva ulica
64,2041370080001,antonova ulica
65,2071090440001,anzlova gora
66,2060540020000,anže
67,2020960160002,anželova ulica
68,1080610110014,anžurjeva ulica
69,2010290010000,apače
70,2020450010000,apače
71,2010290060001,apaška cesta
72,1080610110015,apihova ulica
73,2071190010000,apnenik
74,2061100010000,apnenik pri boštanju
75,2060540030000,apnenik pri velikem trnu
76,2090120030000,apno
77,2020700270002,apostlova ulica
78,2020960160003,arbajterjeva ulica
79,1080610110016,archinetova ulica
80,2041390010000,arclin
81,2041390610002,arclinska cesta
82,2071300010000,arčelca
83,2110840350001,arčoni
84,2060540040000,ardro pod velikim trnom
85,2060540050000,ardro pri raki
86,2021080160001,areška cesta
87,1080610111501,argentinski park
88,1080610110017,arharjeva cesta
89,1080710090001,arharjeva ulica
90,2041900010000,arja vas
91,2120500060001,arjol
92,1080610110018,arkova ulica
93,2110360090001,arkova ulica
94,2060540060000,armeško
95,2041330010000,arnače
96,1080610110019,arničeva ulica
97,2020960160190,arničeva ulica
98,2041900380002,arničeva ulica
99,2060090010000,arnovo selo
100,2020960160004,arnuševa ulica
101,1080610110020,artačeva ulica
102,2060090020000,artiče
103,1080390020000,artiža vas
104,2071300020000,artmanja vas
105,2061100020000,arto
106,2120350010000,artviže
107,2040570290001,aškerčev trg
108,2041240660001,aškerčev trg
109,2041260090001,aškerčeva cesta
110,1080320480002,aškerčeva cesta
111,1080610110021,aškerčeva cesta
112,2040570550001,aškerčeva cesta
113,2041330240001,aškerčeva cesta
114,1080230070001,aškerčeva ulica
115,1080230100002,aškerčeva ulica
116,2010800060001,aškerčeva ulica
117,2020700200006,aškerčeva ulica
118,2021130870002,aškerčeva ulica
119,1080430230001,aškerčeva ulica
120,2021080160002,aškerčeva ulica
121,2020960160005,aškerčeva ulica
122,2041060240001,aškerčeva ulica
123,2010630340001,aškerčeva ulica
124,2021130210001,aškerčeva ulica
125,2060090120001,aškerčeva ulica
126,2041140360001,aškerčeva ulica
127,2021130220001,aškerčeva ulica
128,2041200920001,aškerčeva ulica
129,2120400040002,aškerčeva ulica
130,2070851320002,aškerčeva ulica
131,2040110030002,aškerčeva ulica
132,2060540850001,aškerčeva ulica
133,2040790090001,aškerčeva ulica
134,2041900380003,aškerčeva ulica
135,2040300040001,attemsov trg
136,2110440030000,avče
137,1080610110022,avčinova ulica
138,1080610110023,avgustinčičeva ulica
139,2060540070000,avguštine
140,2110460010000,avsa
141,1080610110024,avsečeva ulica
142,1080610110025,avšičeva cesta
143,2070851320003,avšičeva ulica
144,2110440090001,avško
145,1080610110026,ažbetova ulica
146,2020700200007,ažbetova ulica
147,2010290020000,aženski vrh
148,1080610110027,ažmanova ulica
149,2021690030002,babičeva ulica
150,2120500030000,babiči
151,2010630010000,babinci
152,2010630340002,babinska cesta
153,2041240010000,babna brda
154,2071300030000,babna gora
155,1080210010000,babna gora
156,2041240020000,babna gora
157,2100650020000,babna polica
158,2041240030000,babna reka
159,2090520010000,babni vrt
160,2020700200008,babnikova ulica
161,2040110030003,babno
162,2100650030000,babno polje
163,1081230090001,babnogoriška cesta
164,1081230090002,babškova pot
165,2100380010000,bač
166,2120350020000,bač pri materiji
167,2111280010000,bača pri modreju
168,2111280020000,bača pri podbrdu
169,2090270010000,bačne
170,1080600650001,badjurova ulica
171,2040110030004,badovinčeva ulica
172,2070730370001,badovinčeva ulica
173,2040570290002,badovinčeva ulica
174,2070851320004,bajčeva ulica
175,2110440180001,bajti
176,1080610110028,bajtova ulica
177,1080430230002,bakovnik
178,1080430230003,bakovniška ulica
179,2010800060002,bakovska ulica
180,1080390030000,bakrc
181,1080720030002,balantičeva ulica
182,2020700200009,balaševa ulica
183,1080610110029,balinarska pot
184,2070170020000,balkovci
185,2091310300001,balos
186,1081340020000,bane
187,2010590170025,banffyjev trg
188,2071650020000,banja loka
189,2110840030000,banjšice
190,2011880010000,banovci
191,2011880030001,banovska cesta
192,2020700200010,bantanova ulica
193,2010590010000,banuta
194,2071301880001,baragov trg
195,2090520140167,baragov trg
196,2071930500001,baragova cesta
197,1080720030003,baragova ulica
198,1080610110010,baragova ulica
199,2110070010000,barbana
200,2120400010000,baredi
201,2021350010000,barislovci
202,2120500040000,barizoni
203,1081400070001,barjanska cesta
204,1080610110030,barjanska cesta
205,2110840260001,barje
206,2120190010000,barka
207,1080710090002,barletova cesta
208,1080601240001,bartlova ulica
209,1080610110031,barvarska steza
210,2120500410002,barvarska ulica
211,2020700200011,barvarska ulica
212,2090950010000,bašelj
213,2020700200012,baševa ulica
214,2110840040000,bate
215,2110010020000,batuje
216,2020700200013,baukartova ulica
217,1081340030000,bavdek
218,1080610110032,bavdkova ulica
219,2090520140001,bavdkova ulica
220,2110060010000,bavšica
221,1080610110033,baznikova ulica
222,2120350140001,bazoviška cesta
223,2100380150003,bazoviška cesta
224,1080430230004,bazoviška ulica
225,2021130870003,bazoviška ulica
226,1080610110034,bazoviška ulica
227,2110840260002,bazoviška ulica
228,2020700200014,bazoviška ulica
229,2120500410003,bazoviška ulica
230,2091020340001,bazoviška ulica
231,2111280600001,bazoviška ulica
232,2110360090002,bazoviška ulica
233,2120400040003,bazoviška ulica
234,1080610110035,beblerjev trg
235,2111360180001,beblerjeva ulica
236,2110360090003,beblerjeva ulica
237,2120500410004,beblerjeva ulica
238,2020700200015,beblova ulica
239,2100130010000,beč
240,2100130020000,bečaje
241,1080710090003,bečanova ulica
242,2070170030000,bedenj
243,2091470170001,bedrih
244,1080610110036,beethovnova ulica
245,2020700200016,begova ulica
246,2020700270003,begova ulica
247,2091020010000,begunje na gorenjskem
248,2100130030000,begunje pri cerknici
249,2091310010001,begunjska cesta
250,2091020170003,begunjska cesta
251,2090520140002,begunjska ulica
252,2120350030000,beka
253,1080430010000,bela
254,2110010030000,bela
255,2070850010000,bela cerkev
256,1080430020000,bela peč
257,1080610110037,belačeva ulica
258,2020700200017,belačeva ulica
259,2041390610003,belakova ulica
260,2021350020000,belavšek
261,2090530010000,belca
262,2070170040000,belčji vrh
263,2041260010000,bele vode
264,2091170080001,beleharjeva cesta
265,2071300040000,beli grič
266,2041390020000,beli potok pri frankolovem
267,2041240040000,beli potok pri lembergu
268,1080210020000,belica
269,2070880010000,belica
270,2021780050001,belingerjeva ulica
271,1080610110038,beljaška ulica
272,2110070020000,belo
273,1080710010000,belo
274,2041240050000,belo
275,2070170140001,belokranjska cesta
276,2070851320005,belokranjska cesta
277,2020700200018,belokranjska ulica
278,1080610110039,belokranjska ulica
279,2020700200019,beloruska ulica
280,2040570010000,belovo
281,2090950100001,belska cesta
282,2021430010000,belski vrh
283,2100940010000,belsko
284,2031750010000,belšak
285,2020960160006,belšakova ulica
286,2071300050000,belšinja vas
287,2120500410005,belveder
288,2120500050000,belvedur
289,2120500410006,benčičeva ulica
290,2071300060000,benečija
291,2090520190001,benedičičeva pot
292,2090520140003,benedikova ulica
293,2021480010000,benedikt v slov. goricah
294,2021670030001,benediktinska pot
295,2101500020000,benete
296,2010590020000,benica
297,2020700200020,benkova ulica
298,2020700200021,beograjska ulica
299,2020700200022,beraničeva ulica
300,2020870600001,bercetova ulica
301,2070730370002,berčice
302,1080610110040,berčičeva ulica
303,1080610110041,berčonova pot
304,1080610110042,berdajsova ulica
305,2070730010000,bereča vas
306,1080710090004,bergantova cesta
307,1080610111514,bergantova ulica
308,2020700200023,bergantova ulica
309,1081860010001,bergantova ulica
310,2020700200024,berglesova ulica
311,1080220010000,beričevo
312,2021350030000,berinjak
313,1080601630000,berinjek
314,2011660010000,berkovci
315,2010780020000,berkovci
316,2011660020000,berkovski prelogi
317,2040110030005,berksova ulica
318,2031120120001,bernekarjeva ulica
319,1080610110043,bernekerjeva ulica
320,2020700200025,bernekerjeva ulica
321,2040110030006,bernekerjeva ulica
322,2120500410007,bernetičeva ulica
323,1080710090005,bernikova ulica
324,1080230100003,bernikova ulica
325,1080610110044,bernikova ulica
326,2120500020001,bertokova ulica
327,2090520140004,bertoncljeva ulica
328,2020700200026,besednjakova ulica
329,1080610010000,besnica
330,1081400190001,betajnova
331,2120190020000,betanja
332,2060090120002,betettova ulica
333,2020700200027,betettova ulica
334,2020700200028,betnavska cesta
335,2090520130001,betonova ulica
336,2071790010000,betonovo
337,2110440090002,bevčarji
338,2041330020000,bevče
339,2041330240002,bevče
340,1081400010000,bevke
341,2110840260003,bevkov trg
342,1080320170002,bevkova cesta
343,1080610110045,bevkova cesta
344,2021130740001,bevkova ulica
