,objectId,countryCode,postalCode,placeName,adminName1,adminCode1,adminName2,adminCode2,adminName3
0,OSvNUgbu9s,HR,43000,Malo Korenovo,Bjelovarsko-Bilogorska,01,,,Bjelovar
1,HsZjMQUaHO,HR,43000,Narta,Bjelovarsko-Bilogorska,01,,,Bjelovar
2,BcgliWaWHf,HR,43000,Ždralovi,Bjelovarsko-Bilogorska,01,,,Bjelovar
3,llmGNrs2CP,HR,43000,Tuk,Bjelovarsko-Bilogorska,01,,,Bjelovar
4,jvCLXPtW9n,HR,43000,Dominkovica,Bjelovarsko-Bilogorska,01,,,Bjelovar
5,aTDjtmUAcc,HR,43000,Babotok,Bjelovarsko-Bilogorska,01,,,Bjelovar
6,xFZ1nZc1UY,HR,43000,Babinac,Bjelovarsko-Bilogorska,01,,,Bjelovar
7,sKi7TzUbKK,HR,43000,Stare Plavnice,Bjelovarsko-Bilogorska,01,,,Bjelovar
8,nwwo0Rm7qJ,HR,43000,Kraljevac,Bjelovarsko-Bilogorska,01,,,Bjelovar
9,EUJ02wNPKq,HR,43000,Severin,Bjelovarsko-Bilogorska,01,,,Bjelovar
10,iD49OVGcBC,HR,43000,Sredice Gornje,Bjelovarsko-Bilogorska,01,,,Bjelovar
11,eYvyGoouLK,HR,43000,Kakinac,Bjelovarsko-Bilogorska,01,,,Bjelovar
12,D5xAAVWSVz,HR,43000,Ivanska,Bjelovarsko-Bilogorska,01,,,Bjelovar
13,GktwrrUSqs,HR,43000,Veliko Korenovo,Bjelovarsko-Bilogorska,01,,,Bjelovar
14,y32J0ot682,HR,43000,Križ Gornji,Bjelovarsko-Bilogorska,01,,,Bjelovar
15,CfveZCkSf9,HR,43000,Predavac,Bjelovarsko-Bilogorska,01,,,Bjelovar
16,EVGmVmDmlK,HR,43000,Gornje Plavnice,Bjelovarsko-Bilogorska,01,,,Bjelovar
17,um3hJCUQHe,HR,43000,Potok,Bjelovarsko-Bilogorska,01,,,Bjelovar
18,CqcBKoBfcD,HR,43000,Stara Plošćica,Bjelovarsko-Bilogorska,01,,,Bjelovar
19,saJbCfNYIQ,HR,43000,Utiskani,Bjelovarsko-Bilogorska,01,,,Bjelovar
20,DotP6vxnvE,HR,43000,Jasenik,Bjelovarsko-Bilogorska,01,,,Bjelovar
21,qHkIH4ZP3o,HR,43000,Višnjevac,Bjelovarsko-Bilogorska,01,,,Bjelovar
22,7FCbzwV1xq,HR,43000,Gudovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
23,zVQE7wurV6,HR,43000,Ravneš,Bjelovarsko-Bilogorska,01,,,Bjelovar
24,c10mfdtGvr,HR,43000,Jakopovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
25,PFBH7YLmUt,HR,43000,Brezovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
26,wU6lUkTFDj,HR,43000,Šimljanica,Bjelovarsko-Bilogorska,01,,,Bjelovar
27,IjCzOAzLgW,HR,43000,Lipovčani,Bjelovarsko-Bilogorska,01,,,Bjelovar
28,zEhbw6nCOH,HR,43000,Ciglena,Bjelovarsko-Bilogorska,01,,,Bjelovar
29,FDtGoBoCE5,HR,43000,Prgomelje,Bjelovarsko-Bilogorska,01,,,Bjelovar
30,DMnCu94uSJ,HR,43000,Novi Pavljani,Bjelovarsko-Bilogorska,01,,,Bjelovar
31,yVspTN6aZ3,HR,43000,Novi Skucani,Bjelovarsko-Bilogorska,01,,,Bjelovar
32,3qgS1v5drR,HR,43000,Bjelovar,Bjelovarsko-Bilogorska,01,,,Bjelovar
33,FAQGzoo9JE,HR,43000,Pavlin Kloštar,Bjelovarsko-Bilogorska,01,,,Bjelovar
34,7mlY2AMpRZ,HR,43000,Patkovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
35,233lzluZt0,HR,43000,Donja Petrička,Bjelovarsko-Bilogorska,01,,,Bjelovar
36,Ihwr5MxWFW,HR,43000,Orovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
37,7oUyaDPg5b,HR,43000,Kašljavac,Bjelovarsko-Bilogorska,01,,,Bjelovar
38,KD9NIni8jZ,HR,43000,Nova Diklenica,Bjelovarsko-Bilogorska,01,,,Bjelovar
39,OoS19XRSUZ,HR,43000,Maglenča,Bjelovarsko-Bilogorska,01,,,Bjelovar
40,hvNvZuTv9s,HR,43000,Kapela,Bjelovarsko-Bilogorska,01,,,Bjelovar
41,1xaG2u0EkT,HR,43000,Paljevine,Bjelovarsko-Bilogorska,01,,,Bjelovar
42,AK1CFi1mMx,HR,43000,Trojstveni Markovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
43,uFNVLjTFmH,HR,43000,Malo Trojstvo,Bjelovarsko-Bilogorska,01,,,Bjelovar
44,MJqEN4eyqz,HR,43000,Kupinovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
45,M4mb2Q0SBg,HR,43000,Kolarevo Selo,Bjelovarsko-Bilogorska,01,,,Bjelovar
46,NALqYwd5qM,HR,43000,Podgorci,Bjelovarsko-Bilogorska,01,,,Bjelovar
47,KmMjvkLmdq,HR,43000,Obrovnica,Bjelovarsko-Bilogorska,01,,,Bjelovar
48,JQGV4p61XE,HR,43000,Klokočevac,Bjelovarsko-Bilogorska,01,,,Bjelovar
49,IGPvWdHl9C,HR,43000,Galovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
50,tHXjeFbqJ7,HR,43000,Stara Diklenica,Bjelovarsko-Bilogorska,01,,,Bjelovar
51,7nkKMN4XT2,HR,43000,Breza,Bjelovarsko-Bilogorska,01,,,Bjelovar
52,lOdCF1RaGE,HR,43000,Veliko Trojstvo,Bjelovarsko-Bilogorska,01,,,Bjelovar
53,EY8NjHLb9z,HR,43000,Gornja Petrička,Bjelovarsko-Bilogorska,01,,,Bjelovar
54,QvAI5byP8Z,HR,43000,Prespa,Bjelovarsko-Bilogorska,01,,,Bjelovar
55,JbfvMKVxHm,HR,43000,Gornji Mosti,Bjelovarsko-Bilogorska,01,,,Bjelovar
56,2q40CfvGEx,HR,43000,Srednja Diklenica,Bjelovarsko-Bilogorska,01,,,Bjelovar
57,TACk90AnEl,HR,43000,Kegljevac,Bjelovarsko-Bilogorska,01,,,Bjelovar
58,VYkuRySePE,HR,43000,Stari Pavljani,Bjelovarsko-Bilogorska,01,,,Bjelovar
59,GFK7lPd4QU,HR,43000,Samarica,Bjelovarsko-Bilogorska,01,,,Bjelovar
60,1zLmCaubyv,HR,43000,Vrbica,Bjelovarsko-Bilogorska,01,,,Bjelovar
61,xcEHKtRtHP,HR,43000,Rovišće,Bjelovarsko-Bilogorska,01,,,Bjelovar
62,Vyf7FJhBpR,HR,43000,Zrinski Topolovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
63,fwcPFUT0wv,HR,43000,Kobasičari,Bjelovarsko-Bilogorska,01,,,Bjelovar
64,6vsFYGzX2C,HR,43000,Gornje Zdelice,Bjelovarsko-Bilogorska,01,,,Bjelovar
65,cQHssWySCt,HR,43000,Botinac,Bjelovarsko-Bilogorska,01,,,Bjelovar
66,1KDJVF7zeP,HR,43000,Lipovo Brdo,Bjelovarsko-Bilogorska,01,,,Bjelovar
67,lbbZb24NDl,HR,43000,Tomaš,Bjelovarsko-Bilogorska,01,,,Bjelovar
68,h1gOEvLgva,HR,43000,Domankuš,Bjelovarsko-Bilogorska,01,,,Bjelovar
69,nY5nF73HkJ,HR,43000,Šandrovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
70,97oQdZ1DFP,HR,43000,Novoseljani,Bjelovarsko-Bilogorska,01,,,Bjelovar
71,20CkenAfXz,HR,43000,Ćurlovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
72,IWoqRtechd,HR,43000,Letičani,Bjelovarsko-Bilogorska,01,,,Bjelovar
73,rjzM0AF95r,HR,43000,Martinac,Bjelovarsko-Bilogorska,01,,,Bjelovar
74,X9Np3m61pk,HR,43000,Rajić,Bjelovarsko-Bilogorska,01,,,Bjelovar
75,zvTjM8yA5k,HR,43000,Krivaja,Bjelovarsko-Bilogorska,01,,,Bjelovar
76,jAQYIqx0SK,HR,43000,Donji Mosti,Bjelovarsko-Bilogorska,01,,,Bjelovar
77,w0Yo2XGvuq,HR,43000,Križic,Bjelovarsko-Bilogorska,01,,,Bjelovar
78,SjmLXKX49o,HR,43000,Jabučeta,Bjelovarsko-Bilogorska,01,,,Bjelovar
79,LXqIoxNBW0,HR,43000,Berek,Bjelovarsko-Bilogorska,01,,,Bjelovar
80,dI4yzKX9TO,HR,43000,Kokinac,Bjelovarsko-Bilogorska,01,,,Bjelovar
81,NWP0KWDoAb,HR,43000,Ruškovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
82,kZCAaK5yzw,HR,43000,Rastovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
83,hE2xSjsUNb,HR,43000,Kovačevac,Bjelovarsko-Bilogorska,01,,,Bjelovar
84,DiVIuvFC9F,HR,43000,Šimljana,Bjelovarsko-Bilogorska,01,,,Bjelovar
85,JzlEBgqDfJ,HR,43000,Starčevljani,Bjelovarsko-Bilogorska,01,,,Bjelovar
86,HI77kd7hXm,HR,43000,Grginac,Bjelovarsko-Bilogorska,01,,,Bjelovar
87,ADUIvYhya8,HR,43000,Mala Ciglena,Bjelovarsko-Bilogorska,01,,,Bjelovar
88,vDhSRjIdQh,HR,43000,Srednji Mosti,Bjelovarsko-Bilogorska,01,,,Bjelovar
89,YWzoag7N73,HR,43000,Zvijerci,Bjelovarsko-Bilogorska,01,,,Bjelovar
90,LcG5IRBrbl,HR,43000,Šiptari,Bjelovarsko-Bilogorska,01,,,Bjelovar
91,lpiCj9rBK0,HR,43000,Pupelica,Bjelovarsko-Bilogorska,01,,,Bjelovar
92,1zCUdhUEaj,HR,43000,Đurđic,Bjelovarsko-Bilogorska,01,,,Bjelovar
93,boaEG76rZI,HR,43000,Prnjavor,Bjelovarsko-Bilogorska,01,,,Bjelovar
94,EmN2vCjm0O,HR,43000,Prokljuvani,Bjelovarsko-Bilogorska,01,,,Bjelovar
95,4Rzm7E4a6t,HR,43000,Poljančani,Bjelovarsko-Bilogorska,01,,,Bjelovar
96,llNBRKb8Zr,HR,43000,Gornji Tomaš,Bjelovarsko-Bilogorska,01,,,Bjelovar
97,1fUkn9QYCy,HR,43000,Reškovci,Bjelovarsko-Bilogorska,01,,,Bjelovar
98,0vjOxBkd1s,HR,43000,Prekobrdo,Bjelovarsko-Bilogorska,01,,,Bjelovar
99,KJH4vtrZFQ,HR,43000,Puričani,Bjelovarsko-Bilogorska,01,,,Bjelovar
100,UOsrEGNwVY,HR,43000,Gornje Rovišće,Bjelovarsko-Bilogorska,01,,,Bjelovar
101,t4NRdSNaYf,HR,43000,Stančići,Bjelovarsko-Bilogorska,01,,,Bjelovar
102,kIg0gGlyfJ,HR,43240,Daskatica,Bjelovarsko-Bilogorska,01,,,Čazma
103,Q5lsL71CpD,HR,43000,Žabjak,Bjelovarsko-Bilogorska,01,,,Bjelovar
104,BcAyWCSjt3,HR,43000,Lalići,Bjelovarsko-Bilogorska,01,,,Bjelovar
105,aIH5hQIXPo,HR,43000,Tvrda Reka,Bjelovarsko-Bilogorska,01,,,Bjelovar
106,NZuRpcNBje,HR,43000,Srijedska,Bjelovarsko-Bilogorska,01,,,Bjelovar
107,C9Vv5x4kvA,HR,43000,Visovi,Bjelovarsko-Bilogorska,01,,,Bjelovar
108,gBglJB7SUU,HR,43000,Paulovac,Bjelovarsko-Bilogorska,01,,,Bjelovar
109,ATQRJSx0bx,HR,43000,Stanići,Bjelovarsko-Bilogorska,01,,,Bjelovar
110,UN6yGguTQR,HR,43240,Čazma,Bjelovarsko-Bilogorska,01,,,Čazma
111,diCWfsmHJW,HR,43240,Pavličani,Bjelovarsko-Bilogorska,01,,,Čazma
112,DiGCI9AUdA,HR,43240,Milaševac,Bjelovarsko-Bilogorska,01,,,Čazma
113,5uUS1ZDHU5,HR,43000,Stari Skucani,Bjelovarsko-Bilogorska,01,,,Bjelovar
114,CthT2MqBvc,HR,43240,Gornji Draganec,Bjelovarsko-Bilogorska,01,,,Čazma
115,KDDsjRiya3,HR,43240,Cerina,Bjelovarsko-Bilogorska,01,,,Čazma
116,aiNLCLSicy,HR,43240,Zdenčec,Bjelovarsko-Bilogorska,01,,,Čazma
117,5Tnmx9GCBn,HR,43240,Komuševac,Bjelovarsko-Bilogorska,01,,,Čazma
118,tQdFDKSJnd,HR,43240,Vagovina,Bjelovarsko-Bilogorska,01,,,Čazma
119,cd6UK60x0S,HR,43240,Marčani,Bjelovarsko-Bilogorska,01,,,Čazma
120,JAGC4yeDPe,HR,43240,Sovari,Bjelovarsko-Bilogorska,01,,,Čazma
121,BBsMn56U9X,HR,43240,Pobjenik,Bjelovarsko-Bilogorska,01,,,Čazma
122,lKUU7nhLsf,HR,43240,Laminac,Bjelovarsko-Bilogorska,01,,,Čazma
123,K0emJRPrv8,HR,43240,Sišćani,Bjelovarsko-Bilogorska,01,,,Čazma
124,vfWn4jIIzi,HR,43240,Palančani,Bjelovarsko-Bilogorska,01,,,Čazma
125,Osdod5bAoM,HR,43240,Staro Štefanje,Bjelovarsko-Bilogorska,01,,,Čazma
126,RfnDj2oYd0,HR,43240,Starine,Bjelovarsko-Bilogorska,01,,,Čazma
127,dsxDMV8fNe,HR,43240,Bojana,Bjelovarsko-Bilogorska,01,,,Čazma
128,1bRiKrzWUb,HR,43240,Donji Lipovčani,Bjelovarsko-Bilogorska,01,,,Čazma
129,v3IdFWXn47,HR,43240,Gornja Šušnjara,Bjelovarsko-Bilogorska,01,,,Čazma
130,bGMYeulwop,HR,43240,Vrtlinska,Bjelovarsko-Bilogorska,01,,,Čazma
131,klJm3LKDWt,HR,43240,Grabovnica,Bjelovarsko-Bilogorska,01,,,Čazma
132,zja5R04fwy,HR,43240,Vučani,Bjelovarsko-Bilogorska,01,,,Čazma
133,iglAO7l1I2,HR,43240,Gornji Miklouš,Bjelovarsko-Bilogorska,01,,,Čazma
134,gC1A46mfhz,HR,43240,Prnjarovac,Bjelovarsko-Bilogorska,01,,,Čazma
135,f53sDAjKPs,HR,43240,Blatnica,Bjelovarsko-Bilogorska,01,,,Čazma
136,GgoKaEMr6p,HR,43240,Donji Dragičevci,Bjelovarsko-Bilogorska,01,,,Čazma
137,dqKCTpN6ia,HR,43240,Martinac,Bjelovarsko-Bilogorska,01,,,Čazma
138,vRNZ37uOBp,HR,43240,Bosiljevo,Bjelovarsko-Bilogorska,01,,,Čazma
139,jjqTNEmJSA,HR,43240,Štefanje,Bjelovarsko-Bilogorska,01,,,Čazma
140,5HNRAoP8uk,HR,43240,Suhaja,Bjelovarsko-Bilogorska,01,,,Čazma
141,wAW8zvd83C,HR,43240,Donji Miklouš,Bjelovarsko-Bilogorska,01,,,Čazma
142,qqtsJRntcz,HR,43240,Pobrđani,Bjelovarsko-Bilogorska,01,,,Čazma
143,MkiIRkfsb7,HR,43270,Nova Rača,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
144,Ue2dEHEbGJ,HR,43270,Zrinska,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
145,SJgIwi45c4,HR,43240,Andigola,Bjelovarsko-Bilogorska,01,,,Čazma
146,7ZFMzpaln2,HR,43270,Ribnjačka,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
147,DabYEVrqFR,HR,43240,Grabik,Bjelovarsko-Bilogorska,01,,,Čazma
148,rsgDOooqzt,HR,43240,Dapci,Bjelovarsko-Bilogorska,01,,,Čazma
149,9NtRuNHHHO,HR,43240,Prokljuvani,Bjelovarsko-Bilogorska,01,,,Čazma
150,8VpiOrHZYL,HR,43240,Gornji Lipovčani,Bjelovarsko-Bilogorska,01,,,Čazma
151,mhCX7AKgqW,HR,43240,Novo Selo,Bjelovarsko-Bilogorska,01,,,Čazma
152,XwoFgUhyeI,HR,43270,Slovinska Kovačica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
153,dBKiIdHs2M,HR,43240,Općevac,Bjelovarsko-Bilogorska,01,,,Čazma
154,WZceqfb5eI,HR,43270,Pavlovac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
155,f5paJ51deW,HR,43240,Gornji Dragičevci,Bjelovarsko-Bilogorska,01,,,Čazma
156,SbsOpBC7yD,HR,43240,Dereza,Bjelovarsko-Bilogorska,01,,,Čazma
157,S7mgrOKNJz,HR,43270,Topolovica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
158,Wd02hETzMG,HR,43240,Donji Draganec,Bjelovarsko-Bilogorska,01,,,Čazma
159,JDtlayRMGR,HR,43240,Donja Šušnjara,Bjelovarsko-Bilogorska,01,,,Čazma
160,uH9zsQyez0,HR,43270,Dražica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
161,ujHDViVqZV,HR,43270,Bedenička,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
162,7FtkdX8MSs,HR,43270,Cremušina,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
163,2jv9NlSC5k,HR,43270,Mala Pisanica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
164,yHQB5jpe5M,HR,43270,Dautan,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
165,QeS5vn1TZK,HR,43270,Sasovac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
166,ZrzNSaUYrm,HR,43270,Gornja Kovačica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
167,2l3l20omMz,HR,43270,Čađavac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
168,X00XvmvWX8,HR,43270,Veliki Grđevac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
169,R8gX0GdWHH,HR,43270,Bulinac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
170,nKydYQ5PdE,HR,43270,Bačkovica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
171,fv1va4y76G,HR,43270,Babinac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
172,NhfRyVWF2U,HR,43270,Sibenik,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
173,naxbuwGRCf,HR,43270,Drljanovac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
174,pGpMYfeCvs,HR,43270,Nevinac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
175,ihpHgP0dGO,HR,43270,Kozarevac Račanski,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
176,bn43uBNKib,HR,43270,Stara Rača,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
177,DUdHMSRFrV,HR,43270,Orlovac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
178,auyOA7zQiw,HR,43270,Bedenik,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
179,KlP7GNKTsl,HR,43270,Donja Kovačica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
180,SnLAvbMD1g,HR,43270,Lasovac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
181,yoe5OZ60gX,HR,43270,Velika Pisanica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
182,0XbwycpskJ,HR,43270,Mali Grđevac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
183,lECtrewA2K,HR,43270,Polum,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
184,bJy6obVSet,HR,43280,Nova Ploščica,Bjelovarsko-Bilogorska,01,,,Garešnica
185,7AxAIVBZEo,HR,43270,Međurača,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
186,9lYXZe2Ktj,HR,43270,Tociljevac,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
187,KL649CYTUU,HR,43280,Velika Mlinska,Bjelovarsko-Bilogorska,01,,,Garešnica
188,siNwKvYZ1J,HR,43270,Nova Pisanica,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
189,RRiMjdzsoe,HR,43270,Lasovac Brdo,Bjelovarsko-Bilogorska,01,,,Veliki Grđevac
190,aGzJLaofgS,HR,43280,Gornji Uljanik,Bjelovarsko-Bilogorska,01,,,Garešnica
191,8mBQtQsE53,HR,43280,Begovača,Bjelovarsko-Bilogorska,01,,,Garešnica
192,8ZeEA9lDY3,HR,43280,Garešnica,Bjelovarsko-Bilogorska,01,,,Garešnica
193,P9k9aMhQ4N,HR,43280,Ladislav,Bjelovarsko-Bilogorska,01,,,Garešnica
194,0BWH8wwLG6,HR,43280,Kajgana,Bjelovarsko-Bilogorska,01,,,Garešnica
195,lhXYVqxjzw,HR,43280,Veliki Pašijan,Bjelovarsko-Bilogorska,01,,,Garešnica
196,2DMDPLEiYV,HR,43280,Gornja Garešnica,Bjelovarsko-Bilogorska,01,,,Garešnica
197,Pwo48M4Y9Y,HR,43280,Hercegovac,Bjelovarsko-Bilogorska,01,,,Garešnica
198,FytvN766Ri,HR,43280,Rogoža,Bjelovarsko-Bilogorska,01,,,Garešnica
199,UpupuCEEyb,HR,43280,Dišnik,Bjelovarsko-Bilogorska,01,,,Garešnica
200,iPHwJFMyt7,HR,43280,Hrastovac,Bjelovarsko-Bilogorska,01,,,Garešnica
201,NmUAf4sOnj,HR,43280,Uljanik,Bjelovarsko-Bilogorska,01,,,Garešnica
202,HmlABCTKRO,HR,43280,Oštri Zid,Bjelovarsko-Bilogorska,01,,,Garešnica
203,Y31EvIYZ6u,HR,43280,Velika Trnava,Bjelovarsko-Bilogorska,01,,,Garešnica
204,nyUYrTowhe,HR,43280,Trnovitički Popovac,Bjelovarsko-Bilogorska,01,,,Garešnica
205,vpj4cGRAMf,HR,43280,Palešnik,Bjelovarsko-Bilogorska,01,,,Garešnica
206,aCflo2wS6H,HR,43280,Blagorodovac,Bjelovarsko-Bilogorska,01,,,Garešnica
207,ddFEzTiWiw,HR,43280,Ciglenica,Bjelovarsko-Bilogorska,01,,,Garešnica
208,IFKRxxNrz8,HR,43280,Kaniška Iva,Bjelovarsko-Bilogorska,01,,,Garešnica
209,Euiv1nVX9t,HR,43280,Uljanički Brijeg,Bjelovarsko-Bilogorska,01,,,Garešnica
210,xCdcygAy8Y,HR,43280,Šimljanik,Bjelovarsko-Bilogorska,01,,,Garešnica
211,pvoAVS8gDY,HR,43280,Veliko Vukovje,Bjelovarsko-Bilogorska,01,,,Garešnica
212,lY5Y5OGEmw,HR,43280,Mala Mlinska,Bjelovarsko-Bilogorska,01,,,Garešnica
213,GEQyFwnmSY,HR,43280,Mala Trnovitica,Bjelovarsko-Bilogorska,01,,,Garešnica
214,ZkSzyA7bqM,HR,43280,Podgarić,Bjelovarsko-Bilogorska,01,,,Garešnica
215,fC8qj5XgCE,HR,43280,Mali Pašijan,Bjelovarsko-Bilogorska,01,,,Garešnica
216,FUiBcZeD7L,HR,43280,Duhovi,Bjelovarsko-Bilogorska,01,,,Garešnica
